Year,ECD3_bp,CH4_ppb
1937,87,907
1824,200,784
1820,204,762
1799,225,710
1766,258,727
1748,276,696
1743,281,683
1692,332,679
1653,371,676
1605,419,651
1568,456,684
1547,477,681
1491,533,670
1472,552,644
1417,607,670
1411,613,668
1396,628,680
1282,742,667
1272,752,669
1214,810,680
1208,816,643
1089,935,664
1081,943,647
1053,971,648
1011,1013,640
1004,1020,636
913,1111,635
858,1166,633
818,1206,644
733,1291,643
725,1299,629
702,1322,635
612,1412,635
601,1423,650
519,1505,631
507,1517,638
423,1601,632
399,1625,630
330,1694,610
321,1703,623
273,1751,623
233,1791,615
224,1800,623
176,1848,618
157,1867,613
43,1981,613
-1,2025,605
-45,2069,599
-95,2119,604
-154,2178,591
-165,2189,594
-169,2193,609
-258,2282,602
-325,2349,597
-359,2383,595
-371,2395,594
-375,2399,597
-439,2463,593
-464,2488,604
-474,2498,592
-532,2556,579
-565,2589,603
-569,2593,590
-652,2676,592
-674,2698,586
-767,2791,590
-770,2794,580
-774,2798,588
-785,2809,583
-843,2867,580
-850,2874,578
-907,2931,577
-927,2951,577
-1048,3072,581
-1076,3100,573
-1157,3181,576
-1189,3213,589
-1260,3284,568
-1358,3382,581
-1410,3434,589
-1483,3507,573
-1556,3580,570
-1567,3591,560
-1622,3646,575
-1652,3676,596
-1664,3688,578
-1740,3764,578
-1747,3771,581
-1823,3847,576
-1942,3966,574
-1955,3979,578
-2015,4039,575
-2036,4060,549
-2044,4068,568
-2129,4153,576
-2132,4156,563
-2192,4216,570
-2223,4247,582
-2355,4379,577
-2359,4383,568
-2375,4399,579
-2407,4431,584
-2416,4440,570
-2490,4514,570
-2511,4535,568
-2521,4545,582
-2524,4548,562
-2546,4570,580
-2601,4625,560
-2639,4663,580
-2675,4699,560
-2733,4757,563
-2751,4775,560
-2790,4814,570
-2805,4829,563
-2873,4897,579
-2899,4923,570
-2914,4938,573
-2918,4942,568
-3052,5076,561
-3118,5142,563
-3162,5186,551
-3199,5223,553
-3206,5230,558
-3271,5295,574
-3320,5344,561
-3322,5346,564
-3387,5411,577
-3414,5438,565
-3468,5492,570
-3508,5532,566
-3524,5548,580
-3576,5600,581
-3600,5624,563
-3607,5631,568
-3648,5672,591
-3693,5717,571
-3701,5725,578
-3703,5727,570
-3707,5731,581
-3734,5758,584
-3762,5786,586
-3884,5908,575
-3920,5944,570
-3965,5989,584
-4039,6063,564
-4043,6067,602
-4072,6096,592
-4079,6103,597
-4083,6107,581
-4108,6132,597
-4166,6190,590
-4302,6326,590
-4307,6331,577
-4314,6338,583
-4354,6378,592
-4391,6415,577
-4396,6420,580
-4400,6424,581
-4435,6459,587
-4454,6478,588
-4503,6527,617
-4553,6577,602
-4592,6616,602
-4648,6672,599
-4657,6681,601
-4660,6684,595
-4687,6711,607
-4741,6765,604
-4758,6782,636
-4759,6783,603
-4788,6812,608
-4867,6891,605
-4951,6975,633
-4974,6998,607
-5011,7035,614
-5066,7090,631
-5070,7094,610
-5155,7179,612
-5156,7180,607
-5177,7201,623
-5259,7283,618
-5303,7327,618
-5339,7363,602
-5360,7384,623
-5455,7479,612
-5458,7482,602
-5480,7504,617
-5546,7570,625
-5548,7572,610
-5573,7597,617
-5594,7618,617
-5623,7647,623
-5666,7690,620
-5710,7734,619
-5720,7744,623
-5738,7762,620
-5754,7778,623
-5773,7797,618
-5812,7836,620
-5819,7843,611
-5828,7852,612
-5873,7897,614
-5891,7915,620
-5907,7931,598
-5921,7945,600
-5924,7948,612
-5942,7966,589
-5963,7987,613
-6007,8031,624
-6035,8059,660
-6062,8086,632
-6089,8113,606
-6103,8127,626
-6116,8140,633
-6118,8142,624
-6139,8163,651
-6158,8182,640
-6205,8229,642
-6221,8245,641
-6252,8276,660
-6319,8343,647
-6323,8347,649
-6381,8405,665
-6421,8445,648
-6428,8452,660
-6485,8509,654
-6502,8526,654
-6573,8597,662
-6599,8623,657
-6694,8718,671
-6698,8722,659
-6758,8782,675
-6814,8838,676
-6821,8845,658
-6882,8906,674
-6892,8916,657
-6956,8980,648
-7011,9035,671
-7070,9094,664
-7131,9155,671
-7135,9159,665
-7184,9208,664
-7185,9209,665
-7199,9223,666
-7257,9281,663
-7331,9355,675
-7355,9379,671
-7362,9386,674
-7441,9465,676
-7510,9534,675
-7560,9584,682
-7583,9607,685
-7637,9661,689
-7642,9666,683
-7690,9714,693
-7750,9774,676
-7769,9793,674
-7844,9868,670
-7851,9875,682
-7885,9909,675
-7932,9956,685
-8012,10036,678
-8086,10110,717
-8148,10172,698
-8242,10266,694
-8254,10278,678
-8303,10327,682
-8324,10348,688
-8444,10468,672
-8459,10483,661
-8528,10552,669
-8568,10592,652
-8654,10678,671
-8662,10686,666
-8709,10733,685
-8757,10781,681
-8862,10886,694
-8868,10892,673
-8922,10946,679
-8975,10999,703
-9116,11140,650
-9128,11152,633
-9174,11198,653
-9180,11204,654
-9266,11290,665
-9375,11399,643
-9383,11407,559
-9460,11484,469
-9660,11684,488
-9675,11699,468
-9767,11791,477
-9848,11872,462
-9858,11882,483
-9971,11995,462
-10083,12107,480
-10089,12113,467
-10144,12168,479
-10388,12412,542
-10527,12551,651
-10535,12559,627
-10655,12679,643
-10786,12810,610
-10797,12821,646
-10934,12958,661
-10960,12984,662
-11120,13144,670
-11129,13153,653
-11305,13329,646
-11406,13430,628
-11468,13492,625
-11478,13502,619
-11547,13571,613
-11675,13699,619
-11687,13711,623
-11696,13720,630
-11821,13845,612
-11992,14016,578
-12001,14025,597
-12060,14084,569
-12339,14363,465
-12362,14386,476
-12585,14609,461
-12597,14621,470
-12605,14629,469
-12761,14785,459
-12920,14944,470
-13016,15040,476
-13253,15277,463
-13267,15291,451
-13443,15467,452
-13595,15619,441
-13605,15629,456
-13894,15918,441
-13915,15939,438
-13920,15944,473
-14110,16134,419
-14263,16287,424
-14293,16317,427
-14480,16504,405
-14654,16678,409
-14667,16691,404
-14876,16900,408
-14883,16907,381
-15096,17120,395
-15125,17149,389
-15366,17390,371
-15556,17580,375
-15581,17605,366
-15593,17617,384
-15839,17863,366
-15959,17983,377
-15973,17997,371
-16306,18330,375
-16540,18564,371
-16558,18582,378
-16569,18593,371
-16923,18947,373
-16940,18964,379
-17367,19391,366
-17501,19525,358
-17529,19553,377
-17730,19754,356
-17743,19767,351
-18013,20037,374
-18174,20198,375
-18516,20540,384
-18519,20543,367
-18758,20782,378
-19004,21028,365
-19268,21292,354
-19520,21544,357
-19836,21860,357
-20036,22060,355
-20768,22792,407
-20945,22969,385
-21180,23204,390
-21329,23353,390
-21522,23546,390
-21797,23821,386
-21938,23962,398
-22134,24158,375
-22349,24373,360
-22566,24590,373
-22771,24795,389
-22977,25001,372
-23379,25403,370
-23649,25673,365
-23874,25898,355
-24040,26064,364
-24681,26705,396
-24968,26992,387
-25124,27148,386
-25386,27410,396
-25554,27578,406
-25730,27754,426
-25946,27970,382
-26186,28210,399
-26336,28360,402
-26552,28576,414
-26814,28838,444
-27141,29165,388
-27369,29393,368
-27751,29775,391
-28030,30054,399
-28198,30222,392
-28668,30692,410
-28811,30835,408
-29024,31048,392
-29248,31272,404
-29454,31478,412
-29806,31830,427
-29843,31867,422
-29945,31969,441
-30119,32143,457
-30213,32237,471
-30304,32328,431
-30420,32444,452
-30465,32489,409
-30638,32662,410
-30695,32719,405
-30818,32842,404
-30864,32888,415
-30954,32978,432
-31076,33100,424
-31110,33134,428
-31198,33222,440
-31252,33276,443
-31298,33322,444
-31530,33554,461
-31738,33762,479
-31785,33809,426
-31860,33884,415
-31907,33931,419
-32096,34120,420
-32129,34153,430
-32235,34259,430
-32387,34411,428
-32581,34605,447
-32628,34652,457
-32718,34742,489
-32951,34975,519
-32954,34978,520
-32996,35020,513
-33111,35135,514
-33231,35255,498
-33288,35312,492
-33380,35404,427
-33539,35563,421
-33700,35724,444
-33814,35838,426
-33891,35915,425
-33943,35967,441
-34050,36074,440
-34154,36178,441
-34358,36382,471
-34424,36448,469
-34572,36596,494
-34663,36687,524
-34987,37011,534
-35038,37062,534
-35177,37201,587
-35238,37262,536
-35250,37274,548
-35348,37372,572
-35417,37441,563
-35456,37480,580
-35565,37589,560
-35574,37598,557
-35609,37633,544
-35725,37749,547
-35801,37825,539
-35899,37923,540
-35943,37967,481
-36095,38119,526
