Year,Mean_temp,Temp_anomaly
2022,10.9,1.3499999999999996
2021,10.5,0.9499999999999993
2020,10.4,0.8499999999999996
2019,10.5,0.9499999999999993
2018,10.3,0.75
2017,10.5,0.9499999999999993
2016,10.3,0.75
2015,9.9,0.34999999999999964
2014,10.5,0.9499999999999993
2013,10.0,0.4499999999999993
2012,10.0,0.4499999999999993
2011,10.3,0.75
2010,9.1,-0.45000000000000107
2009,10.1,0.5499999999999989
2008,10.1,0.5499999999999989
2007,10.8,1.25
2006,10.7,1.1499999999999986
2005,10.6,1.049999999999999
2004,10.4,0.8499999999999996
2003,10.5,0.9499999999999993
2002,10.4,0.8499999999999996
2001,9.9,0.34999999999999964
2000,10.0,0.4499999999999993
1999,10.4,0.8499999999999996
1998,10.4,0.8499999999999996
1997,10.6,1.049999999999999
1996,9.5,-0.05000000000000071
1995,10.4,0.8499999999999996
1994,9.8,0.25
1993,9.6,0.049999999999998934
1992,9.8,0.25
1991,9.8,0.25
1990,10.3,0.75
1989,10.2,0.6499999999999986
1988,9.8,0.25
1987,9.4,-0.15000000000000036
1986,8.8,-0.75
1985,9.2,-0.3500000000000014
1984,9.7,0.14999999999999858
1983,10.1,0.5499999999999989
1982,9.7,0.14999999999999858
1981,9.6,0.049999999999998934
1980,9.5,-0.05000000000000071
1979,8.8,-0.75
1978,9.6,0.049999999999998934
1977,9.5,-0.05000000000000071
1976,9.8,0.25
1975,10.0,0.4499999999999993
1974,9.4,-0.15000000000000036
1973,9.8,0.25
1972,9.1,-0.45000000000000107
1971,10.1,0.5499999999999989
1970,9.6,0.049999999999998934
1969,9.3,-0.25
1968,9.5,-0.05000000000000071
1967,9.5,-0.05000000000000071
1966,9.7,0.14999999999999858
1965,9.2,-0.3500000000000014
1964,9.8,0.25
1963,8.9,-0.6500000000000004
1962,9.1,-0.45000000000000107
1961,9.9,0.34999999999999964
1960,9.7,0.14999999999999858
1959,10.4,0.8499999999999996
1958,9.7,0.14999999999999858
1957,10.1,0.5499999999999989
1956,9.5,-0.05000000000000071
1955,9.7,0.14999999999999858
1954,9.5,-0.05000000000000071
1953,10.1,0.5499999999999989
1952,9.4,-0.15000000000000036
1951,9.3,-0.25
1950,9.5,-0.05000000000000071
1949,10.6,1.049999999999999
1948,10.1,0.5499999999999989
1947,9.6,0.049999999999998934
1946,9.7,0.14999999999999858
1945,10.7,1.1499999999999986
1944,10.0,0.4499999999999993
1943,10.2,0.6499999999999986
1942,9.7,0.14999999999999858
1941,9.4,-0.15000000000000036
1940,9.7,0.14999999999999858
1939,9.8,0.25
1938,10.0,0.4499999999999993
1937,9.5,-0.05000000000000071
1936,9.6,0.049999999999998934
1935,9.6,0.049999999999998934
1934,10.0,0.4499999999999993
1933,10.0,0.4499999999999993
1932,9.7,0.14999999999999858
1931,9.5,-0.05000000000000071
1930,9.2,-0.3500000000000014
1929,9.4,-0.15000000000000036
1928,9.6,0.049999999999998934
1927,9.4,-0.15000000000000036
1926,9.8,0.25
1925,9.1,-0.45000000000000107
1924,9.4,-0.15000000000000036
1923,9.2,-0.3500000000000014
1922,9.0,-0.5500000000000007
1921,10.5,0.9499999999999993
1920,9.5,-0.05000000000000071
1919,8.7,-0.8500000000000014
1918,9.5,-0.05000000000000071
1917,8.8,-0.75
1916,9.3,-0.25
1915,9.0,-0.5500000000000007
1914,9.6,0.049999999999998934
1913,9.4,-0.15000000000000036
1912,9.2,-0.3500000000000014
1911,9.6,0.049999999999998934
1910,9.2,-0.3500000000000014
1909,8.9,-0.6500000000000004
1908,9.7,0.14999999999999858
1907,9.0,-0.5500000000000007
1906,9.3,-0.25
1905,9.3,-0.25
1904,9.1,-0.45000000000000107
1903,9.1,-0.45000000000000107
1902,9.2,-0.3500000000000014
1901,9.1,-0.45000000000000107
1900,9.3,-0.25
