Year,ECD3_bp,temp_anomaly
2022,2.0,2.2754457998793
2020,4.0,1.846091592442903
2019,5.0,1.95343014430199
2018,6.0,0.987383177570095
2017,7.0,0.7727060738519
2014,10.0,0.7727060738519
2013,11.0,1.202060281288297
2012,12.0,0.23601331455640207
2011,13.0,1.953430144301997
2010,14.0,-0.6226951003163919
2004,20.0,1.738753040583802
2003,21.0,0.12867476269730105
2001,23.0,1.202060281288297
2000,24.0,0.987383177570095
1993,30.44023,0.987383177570095
1987,36.55981,0.987383177570095
1981,42.35844,0.987383177570095
1974,49.44722,0.987383177570095
1967,56.215779999999995,0.987383177570095
1961,62.98695,0.987383177570095
1953,70.7297,0.987383177570095
1944,79.447842,0.987383177570095
1936,87.52999,0.987383177570095
1927,96.27284,0.987383177570095
1919,104.70987,0.987383177570095
1911,112.37379,0.88
1903,120.81203,1.84
1894,129.05624,3.04
1885,138.41511,0.35
1876,147.15077,-0.42
1868,155.93243999999999,0.05
1859,164.75925,0.05
1850,173.97030999999998,-0.52
1840,183.88879,0.79
1830,193.25888,-0.55
1820,203.40378,-1.11
1810,213.93889,0.38
1799,224.10205,-0.4
1789,234.58005,1.05
1778,245.01834,0.28
1768,255.44466,-0.72
1758,265.48283000000004,-1.23
1748,275.87233000000003,0.51
1737,286.18626,-2.44
1726,297.16292,0.42
1716,307.73909000000003,0.84
1705,318.64072999999996,0.71
1694,329.49973,-0.02
1683,340.61209,-0.14
1672,351.77097,-1.41
1660,363.25006,-0.34
1648,375.04303,0.16
1637,386.44177,-1.22
1626,397.85452,-0.41
1614,409.57825,-0.59
1603,420.88129,0.03
1591,432.50821,-0.67
1579,444.90112,-0.9
1567,456.87436,-1.53
1554,469.18558,-0.47
1542,481.46558,-0.12
1531,492.75491,0.21
1519,504.39774,-1.73
1507,516.40918,0.16
1495,528.09915,0.14
1483,540.12518,-0.56
1471,552.21433,-0.8
1459,564.39719,0.42
1446,577.0573099999999,-2.36
1434,589.651,-0.85
1421,602.76422,-0.36
1408,615.60858,1.26
1395,628.93121,0.7
1382,641.75421,-0.77
1369,654.59985,1.4
1356,667.51135,-0.87
1343,680.47388,-0.81
1330,693.46606,1.46
1317,706.04871,0.98
1305,718.98712,0.27
1291,732.25757,-0.96
1277,746.12836,-0.61
1263,760.65106,-0.63
1249,774.67932,-0.49
1234,789.02704,-0.96
1220,803.27771,-1.44
1205,818.23865,-0.91
1191,832.74341,-0.1
1177,846.40747,-0.16
1164,859.83618,0.32
1151,872.90051,0.03
1137,886.30737,0.56
1125,898.81067,0.94
1112,911.10004,1.17
1100,923.37903,1.5
1088,935.96991,-1.03
1074,949.36835,0.59
1060,963.09241,-1.41
1046,977.1662,0.92
1032,991.33173,-1.03
1018,1005.97516,-0.67
1003,1020.98193,-0.55
988,1035.22705,-0.75
974,1049.76489,0.38
959,1064.1580800000002,-0.4
945,1078.5400399999999,-0.44
931,1092.7851,-0.95
917,1106.38147,0.14
903,1120.66455,0.99
889,1134.58911,0.36
875,1148.79602,-0.75
860,1163.0769,-0.8
846,1177.7052,0.72
831,1192.15979,-0.54
817,1206.65186,1.55
803,1220.79089,-0.9
789,1234.92249,-0.34
775,1248.39355,0.93
761,1262.11206,1.03
748,1275.49829,0.88
734,1289.03625,-0.54
720,1303.32214,0.58
706,1317.60388,0.37
691,1332.22241,0.27
677,1346.59155,-0.16
663,1360.97961,-0.3
648,1375.70935,1.23
634,1389.86951,0.22
619,1404.4541,0.89
605,1418.70923,-0.17
591,1432.6217,1.55
577,1446.61572,0.89
563,1460.61511,-0.17
549,1474.62073,-0.02
