,Year,temp_anomality,CO2 (ppmv),CH4_ppb,ECD3_bp
0,2022,2.209956654534828,414.8132388823617,1911.83,2
1,2021,1.9952795508166297,412.7120655699813,1895.28,3
2,2020,1.7806024470984312,410.53160269864304,1878.93,4
3,2019,1.887940998957518,407.9943368119949,1866.58,5
4,2018,0.921894032225623,405.0903567151672,1857.33,6
5,2017,0.7072169285074281,403.1477625207022,1849.58,7
6,2016,0.7072169285074281,400.8186317263182,1843.12,8
7,2015,0.7072169285074281,397.4488254706136,1834.26,9
8,2014,0.7072169285074281,395.2683625992754,1822.53,10
9,2013,1.136571135943825,393.21674526124355,1813.43,11
10,2012,0.17052416921193014,390.56054503615877,1808.12,12
11,2011,1.887940998957525,388.37017096995083,1803.14,13
12,2010,-0.6881842456608638,386.63571186775,1798.91,14
13,2009,-0.29460955551083146,384.197557929799,1793.52,15
14,2008,0.09896513463920087,382.4036316583798,1787.01,16
15,2007,0.4925398247892332,380.6097053869606,1781.38,17
16,2006,0.8861145149392655,378.6968447771048,1774.94,18
17,2005,1.2796892050892978,376.605582659594,1774.16,19
18,2004,1.6732638952393302,374.345830229298,1777.05,20
19,2003,0.06318561735282913,372.6411047117063,1777.33,21
20,2002,0.07393317501923927,370.13357240966735,1772.66,22
21,2001,0.0846807326856494,368.02248790241714,1771.22,23
22,2000,0.09542829035205956,365.9419041310995,1773.22,24
23,1999,0.1061758480184697,363.8613203597818,1772.33,25
24,1998,0.11692340568487984,361.78073658846415,1765.54,26
25,1997,0.12767096335129,360.7142648857741,1754.48,27
26,1996,0.13841852101770014,359.6477931830841,1751.28,28
27,1995,0.14916607868411028,358.3772664412103,1748.88,29
28,1994,0.15991363635052042,357.10673969933646,1742.07,30
29,1993,0.17066119401693056,353.94668533391206,1736.53,31
30,1992,0.1814087516833407,353.72423581425323,1735.47,32
31,1991,0.19215630934975086,352.41630841973364,1724.78,33
32,1990,0.202903867016161,351.36038485998984,1714.43,34
33,1989,0.21365142468257114,350.304461300246,1704.53,35
34,1988,0.22439898234898129,348.437910130481,1693.28,36
35,1987,0.23514654001539143,345.44120600376243,1682.7,37
36,1986,0.24589409768180157,344.34572268753254,1670.09,38
37,1985,0.2566416553482117,343.1107520502481,1657.29,39
38,1984,0.2673892130146218,342.0519764062061,1644.85,40
39,1983,0.278136770681032,340.39489263272503,1563.525,41
40,1980,0.28888432834744215,337.62172408262427,1482.2,44
41,1979,0.29963188601385227,334.84855553252345,1458.3666666666668,45
42,1976,0.31037944368026243,333.9579544891999,1434.5333333333333,48
43,1975,0.3211270013466726,332.3656863259178,1410.7,49
44,1974,0.3318745590130827,331.54980566810485,1387.0666666666666,50
45,1972,0.3426221166794929,329.3831651170635,1363.4333333333334,52
46,1970,0.353369674345903,325.6053939797008,1339.8,54
47,1969,0.36411723201231316,324.70605757685405,1322.875,55
48,1968,0.3748647896787233,323.1811147004103,1305.9499999999998,56
49,1966,0.38561234734513344,321.3335675380042,1289.0249999999999,58
50,1965,0.39635990501154356,320.023187430426,1272.1,59
51,1963,0.4071074626779537,319.09476871785205,1256.85,61
52,1962,0.4178550203443639,318.1797498349084,1241.6,62
53,1961,0.428602578010774,316.59261011941027,1226.35,63
54,1960,0.4393501356771842,315.64998421665024,1211.1,64
55,1959,0.4500976933435943,311.98389241638387,1200.62,65
56,1958,0.46084525101000445,316.2177114510737,1190.1399999999999,66
57,1957,0.47159280867641457,315.15123971565316,1179.66,67
58,1956,0.48234036634282473,315.342073915026,1169.18,68
59,1955,0.49308792400923485,315.02801762946575,1158.7,69
60,1954,0.503835481675645,314.7139613439055,1147.95,70
61,1953,0.5145830393420552,312.73138720742844,1137.2,71
62,1952,0.5253305970084653,312.1844627182946,1126.45,72
63,1950,0.5360781546748754,312.83103112925846,1115.7,74
64,1949,0.5468257123412856,309.6939936066409,1108.82,75
65,1948,0.5575732700076957,311.57094999761165,1101.94,76
66,1947,0.5683208276741059,311.6146311618794,1095.06,77
67,1946,0.5790683853405161,312.11277267585047,1088.18,78
68,1945,0.5898159430069262,310.64736582854016,1081.3,79
69,1944,0.6005635006733363,312.36164019507424,1075.56,80
70,1943,0.6113110583397464,312.3608932721544,1069.82,81
71,1942,0.6220586160061566,312.393938618938,1064.08,82
72,1941,0.6328061736725668,309.77046565163675,1058.34,83
